zona_bairro,area_quartos,enderecos_lista,aluguel
Bela-Vista-centro,86 m² construídos2 quartos,"Bela Vista, São Paulo Centro, São Paulo",2.200
Bela-Vista-centro,35 m² construídos1 quarto,"Rua Da Consolação, Consolação, São Paulo Centro, São Paulo",3.200
Bela-Vista-centro,35 m² construídos1 quarto,"Rua Da Consolação, Consolação, São Paulo Centro, São Paulo",3.700
Bela-Vista-centro,35 m² construídos1 quarto,"Rua Da Consolação, Consolação, São Paulo Centro, São Paulo",3.700
Bela-Vista-centro,25 m² construídos1 quarto,"Rua Bela Cintra, Consolação, São Paulo Centro, São Paulo",1.800
Bela-Vista-centro,25 m² construídos1 quarto,"Rua Bela Cintra, Consolação, São Paulo Centro, São Paulo",2.200
Bela-Vista-centro,511 m² construídos1 quarto,"Bela Vista, São Paulo Centro, São Paulo",36.800
Bela-Vista-centro,170 m² construídos3 quartos,"Avenida Ramiro Colleoni, Centro, Santo André, São Paulo",2.500
Bela-Vista-centro,800 m² construídos,"Bela Vista, São Paulo Centro, São Paulo",25.000
Bela-Vista-centro,400 m² construídos,"Bela Vista, São Paulo Centro, São Paulo",10.000
Bela-Vista-centro,35 m² construídos1 quarto,"Abolicao, Bela Vista, São Paulo Centro, São Paulo",1.700
Bela-Vista-centro,152 m² construídos,"Bela Vista, São Paulo Centro, São Paulo",5.800
Bela-Vista-centro,36 m² construídos1 quarto,"Avanhandava, Bela Vista, São Paulo Centro, São Paulo",1.600
Bela-Vista-centro,260 m² construídos1 quarto,"Bela Vista, São Paulo Centro, São Paulo",21.800
Bela-Vista-centro,23 m² construídos1 quarto,"Rua Santo Amaro, 27, Bela Vista, São Paulo Centro, São Paulo",2.400
Bela-Vista-centro,37 m² construídos1 quarto,"Bela Vista, São Paulo Centro, São Paulo",2.800
Bela-Vista-centro,360 m² construídos,"Avenida Nove De Julho, Bela Vista, São Paulo Centro, São Paulo",9.000
Bela-Vista-centro,479 m² construídos17 quartos,"Rua Condessa De São Joaquim,, Bela Vista, São Paulo Centro, São Paulo",25.000
Bela-Vista-centro,479 m² construídos17 quartos,"Rua Condessa De São Joaquim,, Bela Vista, São Paulo Centro, São Paulo",25.000
Bela-Vista-centro,380 m² construídos6 quartos,"Bela Vista  - São Paulo, Bela Vista, São Paulo Centro, São Paulo",11.000
Bela-Vista-centro,500 m² construídos,"R Sílvia, Bela Vista, São Paulo Centro, São Paulo",29.000
Consolação-centro,35 m² construídos1 quarto,"Rua Da Consolação, Consolação, São Paulo Centro, São Paulo",3.200
Consolação-centro,35 m² construídos1 quarto,"Rua Da Consolação, Consolação, São Paulo Centro, São Paulo",3.700
Consolação-centro,35 m² construídos1 quarto,"Rua Da Consolação, Consolação, São Paulo Centro, São Paulo",3.700
Consolação-centro,25 m² construídos1 quarto,"Rua Bela Cintra, Consolação, São Paulo Centro, São Paulo",1.800
Consolação-centro,25 m² construídos1 quarto,"Rua Bela Cintra, Consolação, São Paulo Centro, São Paulo",1.800
Consolação-centro,25 m² construídos1 quarto,"Rua Bela Cintra, Consolação, São Paulo Centro, São Paulo",2.200
Consolação-centro,25 m² construídos1 quarto,"Rua Bela Cintra, Consolação, São Paulo Centro, São Paulo",2.200
Consolação-centro,35 m² construídos1 quarto,"Rua Da Consolação, Consolação, São Paulo Centro, São Paulo",3.900
Consolação-centro,35 m² construídos1 quarto,"Rua Da Consolação, Consolação, São Paulo Centro, São Paulo",3.900
Consolação-centro,350 m² construídos6 quartos,"Rua Caio Prado, Consolação, São Paulo Centro, São Paulo",45.000
Consolação-centro,143 m² construídos,"Rua Costa, Consolação, São Paulo Centro, São Paulo",7.500
Consolação-centro,850 m² construídos2 quartos,"Rua Avaré, Consolação, São Paulo Centro, São Paulo",25.000
Consolação-centro,252 m² construídos,"Rua Augusta, Consolação, São Paulo Centro, São Paulo",28.000
Consolação-centro,35 m² construídos1 quarto,"Rua Nestor Pestana, Consolação, São Paulo Centro, São Paulo",400.000
Consolação-centro,360 m² construídos9 quartos,"Marques De Paranagua, Consolação, São Paulo Centro, São Paulo",22.000
Consolação-centro,196 m² construídos3 quartos,"R Pará, Consolação, São Paulo Centro, São Paulo",6.000
Consolação-centro,214 m² construídos4 quartos,"Consolação, São Paulo Centro, São Paulo",20.000
Consolação-centro,38 m² construídos1 quarto,"Consolação, São Paulo Centro, São Paulo",3.000
Consolação-centro,740 m² construídos5 quartos,"Rua Ceará, 272, Consolação, São Paulo Centro, São Paulo",15.000
Consolação-centro,43 m² construídos1 quarto,"Rua Da Consolação, Consolação, São Paulo Centro, São Paulo",3.700
Consolação-centro,35 m² construídos1 quarto,"Rua Da Consolação, Consolação, São Paulo Centro, São Paulo",3.100
Santa-Cecília-centro,100 m² totais2 quartos,"Rua Barao De Tatui, Vila Buarque, São Paulo Centro, São Paulo",4.000
Santa-Cecília-centro,400 m² construídos,"Rua Tupi, Santa Cecília, São Paulo Centro, São Paulo",30.000
Santa-Cecília-centro,180 m² construídos,"Rua Tupi, Santa Cecília, São Paulo Centro, São Paulo",9.000
Santa-Cecília-centro,605 m² construídos,"Santa Cecília, São Paulo Centro, São Paulo",55.000
Santa-Cecília-centro,150 m² construídos7 quartos,"Rua Tupi, Santa Cecília, São Paulo Centro, São Paulo",6.700
Santa-Cecília-centro,350 m² construídos,"Pç Princesa Isabel, Campos Elíseos, São Paulo Centro, São Paulo",11.000
Santa-Cecília-centro,170 m² construídos,"Avenida Angélica, Santa Cecília, São Paulo Centro, São Paulo",8.500
Santa-Cecília-centro,30 m² construídos1 quarto,"R Conselheiro Brotero, Santa Cecília, São Paulo Centro, São Paulo",2.450
Santa-Cecília-centro,466 m² construídos8 quartos,"Santa Cecília, São Paulo Centro, São Paulo",15.000
Santa-Cecília-centro,233 m² construídos,"R Doutor Albuquerque Lins, Santa Cecília, São Paulo Centro, São Paulo",16.000
Santa-Cecília-centro,45 m² construídos1 quarto,"Santa Cecília, São Paulo Centro, São Paulo",1.400
Santa-Cecília-centro,33 m² construídos1 quarto,"Santa Cecília, São Paulo Centro, São Paulo",1.300
Santa-Cecília-centro,35 m² construídos1 quarto,"Santa Cecília, São Paulo Centro, São Paulo",800
Santa-Cecília-centro,400 m² construídos,"Santa Cecília, São Paulo Centro, São Paulo",12.000
Santa-Cecília-centro,330 m² construídos,"Vila Buarque, São Paulo Centro, São Paulo",15.000
Santa-Cecília-centro,780 m² construídos,"Avenida Angélica, Santa Cecília, São Paulo Centro, São Paulo",55.000
Santa-Cecília-centro,100 m² construídos3 quartos,"Conselheiro Brotero, Santa Cecília, São Paulo Centro, São Paulo",2.200
Santa-Cecília-centro,315 m² construídos,"Santa Cecília, São Paulo Centro, São Paulo",13.000
Santa-Cecília-centro,683 m² construídos99 quartos,"Rua Martim Francisco, Santa Cecília, São Paulo Centro, São Paulo",18.000
Santa-Cecília-centro,250 m² construídos4 quartos,"Rua Tupi, Santa Cecília, São Paulo Centro, São Paulo",6.000
Santa-Cecília-centro,150 m² construídos4 quartos,"R Tupi, Santa Cecília, São Paulo Centro, São Paulo",12.000
Campos-Elíseos-centro,32 m² construídos1 quarto,"Campos Elíseos, São Paulo Centro, São Paulo",1.000
Campos-Elíseos-centro,20 m² totais,"Campos Elíseos, São Paulo Centro, São Paulo",2.000
Campos-Elíseos-centro,24 m² construídos1 quarto,"Alameda Eduardo Prado, Campos Elíseos, São Paulo Centro, São Paulo",1.350
Campos-Elíseos-centro,33 m² construídos1 quarto,"Alameda Eduardo Prado, Campos Elíseos, São Paulo Centro, São Paulo",1.350
Campos-Elíseos-centro,24 m² construídos1 quarto,"Alameda Eduardo Prado, Campos Elíseos, São Paulo Centro, São Paulo",1.350
Campos-Elíseos-centro,20 m² totais1 quarto,"Campos Elíseos, São Paulo Centro, São Paulo",2.000
Campos-Elíseos-centro,24 m² construídos1 quarto,"Alameda Eduardo Prado, Campos Elíseos, São Paulo Centro, São Paulo",1.350
