bairro,zona,area,quartos,aluguel
Bela Vista,centro,86,2,2200
Bela Vista,centro,35,1,3200
Bela Vista,centro,35,1,3700
Bela Vista,centro,35,1,3700
Bela Vista,centro,25,1,1800
Bela Vista,centro,25,1,2200
Bela Vista,centro,511,1,36800
Bela Vista,centro,170,3,2500
Bela Vista,centro,800,,25000
Bela Vista,centro,400,,10000
Bela Vista,centro,35,1,1700
Bela Vista,centro,152,,5800
Bela Vista,centro,36,1,1600
Bela Vista,centro,260,1,21800
Bela Vista,centro,23,1,2400
Bela Vista,centro,37,1,2800
Bela Vista,centro,360,,9000
Bela Vista,centro,479,17,25000
Bela Vista,centro,479,17,25000
Bela Vista,centro,380,6,11000
Bela Vista,centro,500,,29000
Consolação,centro,35,1,3200
Consolação,centro,35,1,3700
Consolação,centro,35,1,3700
Consolação,centro,25,1,1800
Consolação,centro,25,1,1800
Consolação,centro,25,1,2200
Consolação,centro,25,1,2200
Consolação,centro,35,1,3900
Consolação,centro,35,1,3900
Consolação,centro,350,6,45000
Consolação,centro,143,,7500
Consolação,centro,850,2,25000
Consolação,centro,252,,28000
Consolação,centro,35,1,400000
Consolação,centro,360,9,22000
Consolação,centro,196,3,6000
Consolação,centro,214,4,20000
Consolação,centro,38,1,3000
Consolação,centro,740,5,15000
Consolação,centro,43,1,3700
Consolação,centro,35,1,3100
Santa Cecília,centro,100,2,4000
Santa Cecília,centro,400,,30000
Santa Cecília,centro,180,,9000
Santa Cecília,centro,605,,55000
Santa Cecília,centro,150,7,6700
Santa Cecília,centro,350,,11000
Santa Cecília,centro,170,,8500
Santa Cecília,centro,30,1,2450
Santa Cecília,centro,466,8,15000
Santa Cecília,centro,233,,16000
Santa Cecília,centro,45,1,1400
Santa Cecília,centro,33,1,1300
Santa Cecília,centro,35,1,800
Santa Cecília,centro,400,,12000
Santa Cecília,centro,330,,15000
Santa Cecília,centro,780,,55000
Santa Cecília,centro,100,3,2200
Santa Cecília,centro,315,,13000
Santa Cecília,centro,683,99,18000
Santa Cecília,centro,250,4,6000
Santa Cecília,centro,150,4,12000
Campos Elíseos,centro,32,1,1000
Campos Elíseos,centro,20,,2000
Campos Elíseos,centro,24,1,1350
Campos Elíseos,centro,33,1,1350
Campos Elíseos,centro,24,1,1350
Campos Elíseos,centro,20,1,2000
Campos Elíseos,centro,24,1,1350
Campos Elíseos,centro,350,,11000
Campos Elíseos,centro,20,1,2000
Campos Elíseos,centro,42,1,3500
Campos Elíseos,centro,20,1,1300
Campos Elíseos,centro,44,1,2000
Campos Elíseos,centro,20,,1400
Campos Elíseos,centro,140,,2000
Campos Elíseos,centro,35,,3500
Campos Elíseos,centro,200,,1100
Campos Elíseos,centro,20,1,3500
Campos Elíseos,centro,23,1,2000
Campos Elíseos,centro,,1,1350
Campos Elíseos,centro,24,1,1200
Campos Elíseos,centro,95,2,1250
Cerqueira César,centro,41,1,1750
Cerqueira César,centro,170,,12000
Cerqueira César,centro,84,2,2600
Cerqueira César,centro,242,,19000
Cerqueira César,centro,280,1,13000
Cerqueira César,centro,242,1,19000
Cerqueira César,centro,580,3,10000
Cerqueira César,centro,287,,22000
Cerqueira César,centro,65,3,7500
Cerqueira César,centro,232,3,7000
Cerqueira César,centro,245,,12000
Cerqueira César,centro,166,3,15000
Cerqueira César,centro,243,3,19000
Cerqueira César,centro,242,,16000
Cerqueira César,centro,242,,19000
Cerqueira César,centro,242,,19000
Cerqueira César,centro,1100,,34400
Cerqueira César,centro,242,3,19000
Cerqueira César,centro,100,3,8000
Cerqueira César,centro,372,1,20000
Cerqueira César,centro,450,1,42000
Liberdade,centro,630,4,14000
Liberdade,centro,120,5,4500
Liberdade,centro,120,6,4500
Liberdade,centro,200,4,12000
Liberdade,centro,200,3,6000
Liberdade,centro,160,2,8000
Liberdade,centro,85,2,2500
Liberdade,centro,120,3,5500
Liberdade,centro,25,1,2000
Liberdade,centro,150,3,5000
Liberdade,centro,25,,900
Liberdade,centro,40,1,900
Liberdade,centro,25,1,900
Liberdade,centro,25,,900
Liberdade,centro,25,,900
Liberdade,centro,43,1,850
Brás,centro,40,2,1700
Brás,centro,200,2,3500
Brás,centro,65,2,1500
Brás,centro,90,3,1850
Brás,centro,130,3,2800
Brás,centro,65,2,1500
Brás,centro,90,3,1850
Brás,centro,130,3,2800
Brás,centro,150,3,3000
Brás,centro,110,2,2550
Brás,centro,90,3,1850
Brás,centro,15,1,1200
República,centro,30,1,320000
República,centro,360,,9000
República,centro,29,1,2300
República,centro,39,1,2900
República,centro,28,1,2100
República,centro,39,1,2700
República,centro,39,1,2700
República,centro,38,1,2900
República,centro,39,1,2600
República,centro,39,1,2600
República,centro,35,,1100
República,centro,28,1,1100
República,centro,28,1,2200
República,centro,39,1,2500
República,centro,28,1,2000
República,centro,39,1,2500
República,centro,38,1,2600
República,centro,38,1,2650
República,centro,28,1,2650
República,centro,28,1,2300
República,centro,28,1,2200
Pinheiros ,-oeste,250,3,11000
Pinheiros ,-oeste,492,4,15000
Pinheiros ,-oeste,450,4,13010
Pinheiros ,-oeste,152,6,5000
Pinheiros ,-oeste,170,4,6000
Pinheiros ,-oeste,95,,8000
Pinheiros ,-oeste,450,3,8500
Pinheiros ,-oeste,287,,22000
Pinheiros ,-oeste,350,4,11000
Pinheiros ,-oeste,287,,22000
Pinheiros ,-oeste,120,2,5000
Pinheiros ,-oeste,120,2,5500
Pinheiros ,-oeste,110,1,2200
Pinheiros ,-oeste,297,4,15500
Pinheiros ,-oeste,347,3,12000
Pinheiros ,-oeste,359,4,16000
Pinheiros ,-oeste,300,5,26000
Pinheiros ,-oeste,200,3,12000
Pinheiros ,-oeste,600,17,45000
Pinheiros ,-oeste,491,4,24000
Pinheiros ,-oeste,425,2,26000
Perdizes ,-oeste,132,3,4500
Perdizes ,-oeste,270,4,15000
Perdizes ,-oeste,110,5,7000
Perdizes ,-oeste,50,1,1300
Perdizes ,-oeste,180,3,6800
Perdizes ,-oeste,350,,10000
Perdizes ,-oeste,132,,3700
Perdizes ,-oeste,280,,9500
Perdizes ,-oeste,72,3,3900
Perdizes ,-oeste,170,4,5500
Perdizes ,-oeste,360,6,13200
Perdizes ,-oeste,150,,3500
Perdizes ,-oeste,200,2,7000
Perdizes ,-oeste,150,3,5000
Perdizes ,-oeste,170,5,8500
Perdizes ,-oeste,300,,25000
Perdizes ,-oeste,248,4,2300000
Perdizes ,-oeste,600,6,12250
Perdizes ,-oeste,300,,10000
Perdizes ,-oeste,400,4,15000
Perdizes ,-oeste,325,,13000
Água Branca ,-oeste,680,,23000
