logradouro,nome_logradouro,bairro,zona,area,quartos,aluguel
rua,Dona Maria Quedas, Jardim Andaraí,norte,82,3,1098
rua,Vitalina Moura, Vila Roque,norte,50,2,1400
rua,Alcindo Bueno De Assis, Barro Branco,norte,60,2,1500
rua,Artur De Oliveira, Parque Peruche,norte,51,2,2500
rua,Maria Bandini Savoy, Parque Mandaqui,norte,58,2,1300
rua,Ana De Barros, Jardim Santa Inês,norte,65,3,1500
rua,Said Saad, Vila Amália,norte,26,1,700
rua,Said Saad, Vila Amália,norte,30,1,750
rua,Plinio Colás, Lauzane Paulista,norte,126,3,2500
rua,João Rudge, Casa Verde,norte,76,3,2500
rua,Manuel De Sousa, Santana,norte,119,4,2950
rua,Carolina Soares, Vila Diva (zona Norte),norte,40,1,1800
rua,Doutor Zuquim, Santana,norte,35,1,1800
rua,Parque Da Fonte, Barro Branco,norte,438,4,9540
rua,Ministro Fonseca Filho, Jaçanã,norte,70,2,1482
rua,Ataualpa, Parque Novo Mundo,norte,131,2,2350
rua,Francisco Da Lira, Jardim Leonor Mendes De Barros,norte,96,2,1211
rua,Canatiar, Vila Nova Mazzei,norte,150,3,2600
rua,Maestro Antão Fernandes, Jardim São Bento,norte,350,1,10000
rua,Dona Estela Borges Morato, Vila Siqueira (zona Norte),norte,48,2,1650
rua,Alfredo Pujol, Santana,norte,34,2,1700
rua,Piratininga, Jardim Brasília (zona Norte),norte,58,2,1900
rua,Dona Martinha, Santa Teresinha,norte,58,2,2000
rua,Acorizal, Vila Maria Alta,norte,490,6,8500
rua,Alegria, Jardim Brasília (zona Norte),norte,55,2,2500
rua,Helena Gambini, Vila Bruna,norte,132,3,2800
rua,Campelo, Vila Nova Mazzei,norte,38,1,1250
rua,Charles Terry, Santana,norte,270,4,7200
rua,Dos Camarés  150, Carandiru,norte,58,2,1490
rua,Professor Paul Hugon, Vila Aurora,norte,100,3,2600
rua,Carlos Adalberto Ilha Macedo, Vila Nova Mazzei,norte,70,2,1500
rua,Amambaí, Vila Maria Baixa,norte,40,1,1200
rua,Barra Da Jangada, Parada Inglesa,norte,65,2,1700
rua,Barra Da Jangada, Parada Inglesa,norte,65,2,1700
rua,Voluntários Da Pátria, Santana,norte,60,2,1650
rua,Assano, Jardim Japão,norte,25,1,850
rua,Canto Do Junco, Santana,norte,90,2,2760
rua,Domingos Fasolari, Casa Verde,norte,40,1,1600
rua,Ribeiro De Morais, Vila Albertina,norte,68,2,1800
rua,Doutor Gabriel Covelli, Parque Peruche,norte,50,1,1100
rua,Nossa Senhora Operária, Vila Guilherme,norte,33,1,1000
rua,Desembargador Euclides Da Silveira, Casa Verde,norte,49,1,2400
rua,Doutor Gabriel Covelli, Parque Peruche,norte,55,1,900
rua,Campo Comprido, Vila Romero,norte,120,3,1278
rua,Corneteiro Jesus, Jardim Felicidade (zona Norte),norte,50,1,1000
rua,Said Saad, Vila Amália,norte,90,2,1600
rua,Brito Peixoto, Vila Primavera,norte,52,2,2147
rua,Purus, Vila Mazzei,norte,44,2,1500
rua,Professor Dário Ribeiro, Vila Prado,norte,69,2,1915
rua,Alfredo Pujol, Santana,norte,37,2,1700
rua,Conselheiro Moreira De Barros, Santana,norte,116,3,1500
rua,Capitão Luís Ramos, Vila Guilherme,norte,63,2,1246
rua,Ladeira Velha, Freguesia Do Ó,norte,64,2,1220
rua,Professor Dário Ribeiro, Vila Prado,norte,30,1,700
rua,Pedro Setti, Vila Paiva,norte,200,4,2750
rua,Desembargador Euclides Da Silveira, Casa Verde,norte,49,1,2550
rua,Guaraja, Vila Mazzei,norte,32,1,1360
rua,Ausônia, Vila Mazzei,norte,50,2,1300
rua,Henrique Braglia, Vila Dom Pedro Ii,norte,56,2,2306
rua,Torres Da Barra, Jardim Peri,norte,33,1,1824
rua,Visconde De Parnaíba, Jardim Brasília (zona Norte),norte,42,1,2158
rua,Carlos Dos Santos, Jardim Brasil,norte,50,2,1246
rua,Voluntários Da Pátria, Santana,norte,29,1,3300
rua,Relíquia, Jardim Das Laranjeiras,norte,75,2,1850
rua,Cel. Gustavo Santiago, Vila Zilda,norte,60,2,2500
rua,Pedro Cacunda, Jardim São Paulo,norte,50,2,2300
rua,Soror Angélica, Vila Ester (zona Norte),norte,179,3,3500
rua,Torres Da Barra, Jardim Peri,norte,31,1,1600
rua,Ouro Grosso, Parque Peruche,norte,185,3,4000
rua,José Justino Pereira, Água Fria,norte,350,4,6000
rua,Brazelisa Alves De Carvalho, Vila Baruel,norte,175,2,1800
rua,Pedroso Xavier, Vila Albertina,norte,65,2,2300
rua,Padre Leão Peruche, Vila Mazzei,norte,50,2,1733
rua,Barnabé Coutinho, Vila Albertina,norte,65,3,1450
rua,Santa Ângela, Vila Palmeiras,norte,60,1,700
rua,Antônio De Paula Freitas, Vila Bancária Munhoz,norte,55,1,900
rua,Caetano Desco, Vila Baruel,norte,30,1,1150
rua,Doutor Zuquim, Santana,norte,87,1,4700
rua,Cônego Luís Gonzaga Biazi, Carandiru,norte,40,1,1131
rua,Manuel Correia, Vila Palmeiras,norte,45,1,800
rua,Campo Belo Do Sul 113, Parque Vitória,norte,50,1,1000
rua,José Eduardo Raduan 5, Parque Edu Chaves,norte,80,2,1299
rua,Rodolfo Bardela 335, Brasilândia,norte,30,1,620
rua,Jamunda 79, Vila Mazzei,norte,60,2,1180
rua,Carlos Escobar 282, Santana,norte,10,1,800
rua,General Isidoro Dias Lopes,"
                287",norte,270,3,3000
rua,Estrela Do Indaiá,"
                172",norte,450,4,8500
rua,Alberto Lohnhoff, Lauzane Paulista,norte,25,1,650
rua,Álvaro De Abreu,"
                139",norte,271,4,7500
rua,Yvorne, Lauzane Paulista,norte,34,1,1066
rua,Gávea, Vila Maria,norte,42,2,1350
rua,Voluntários Da Pátria,"
                3744",norte,42,,2000
rua,Doutor Virgílio Do Nascimento, Jardim Brasília (zona Norte),norte,60,1,1200
rua,Itaiquara, Itaberaba,norte,50,2,1400
rua,Doutor Zuquim, Santana,norte,75,2,1250
rua,Juan Arfe, Vila Cruz Das Almas,norte,50,2,1300
rua,Voluntários Da Pátria, Santana,norte,20,1,1350
rua,Da Bica, Freguesia Do Ó,norte,25,1,800
rua,Manuel Cherem, Vila Paulista,norte,62,3,2450
rua,Yvorne, Lauzane Paulista,norte,34,1,1090
rua,Ofion, Vila Guilherme,norte,20,1,850
rua,Santo Egídio, Santa Teresinha,norte,60,2,1100
rua,Antônio Ribeiro De Morais, Jardim Peri,norte,72,3,1500
rua,Yvorne, Lauzane Paulista,norte,34,1,1080
rua,Da Bica, Freguesia Do Ó,norte,70,1,1200
rua,Rio Doce, Vila Gustavo,norte,47,1,960
rua,Mariquinha Viana, Água Fria,norte,65,2,1150
rua,Yvorne, Lauzane Paulista,norte,38,1,1160
rua,Ascenso Dias Leme, Imirim,norte,40,1,550
