zona,enderecos_lista,aluguel,area_m²,quartos
norte,"Rua Abaíbas, Vila Palmeiras, São Paulo Zona Norte, São Paulo",750,40,1
norte,"Avenida Elísio Teixeira Leite, Vila Brasilândia, São Paulo Zona Norte, São Paulo",1155,50,2
norte,"Rua Canner, Vila Pereira Cerca, São Paulo Zona Norte, São Paulo",1000,48,2
norte,"Rua Tanque Velho, Vila Nivi, São Paulo Zona Norte, São Paulo",1300,70,2
norte,"Rua Moreira, Vila Romero, São Paulo Zona Norte, São Paulo",950,25,1
norte,"Avenida Júlio Buono, Vila Gustavo, São Paulo Zona Norte, São Paulo",1200,56,2
norte,"R Professor José Miziara, Santa Teresinha, São Paulo Zona Norte, São Paulo",1900,65,2
norte,"Rua Conselheiro Moreira De Barros, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1122,55,2
norte,"Rua Aída Gomes Tolêdo, Imirim, São Paulo Zona Norte, São Paulo",1100,48,2
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1400,20,1
norte,"Avenida Parada Pinto, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1050,49,2
norte,"Rua Belchior Barreiros, Vila Aurora, São Paulo Zona Norte, São Paulo",1400,70,3
norte,"R Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",1600,38,1
norte,"Rua Ribeiro De Morais, Vila Albertina, São Paulo Zona Norte, São Paulo",1200,70,2
norte,"Rua Doutor Orlando Zamitti Mammana, Jardim Paraíso, São Paulo Zona Norte, São Paulo",1530,80,3
norte,"Rua Sebastião Alves De Sousa, Vila Miriam, São Paulo Zona Norte, São Paulo",1300,35,1
norte,"Rua Epaminondas Melo Do Amaral, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",1300,71,3
norte,"Rua Alberto Costa, Parque Mandaqui, São Paulo Zona Norte, São Paulo",770,28,1
norte,"Rua José Debieux, Santana, São Paulo Zona Norte, São Paulo",1200,68,2
norte,"Rua Ciridião Durval, Vila Paulista, São Paulo Zona Norte, São Paulo",1200,69,2
norte,"Avenida João Pessoa, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1339,74,2
norte,"Rua Jornalista Octávio Ribeiro - Pena Branca, Vila Bela Vista (capital Zona Norte), São Paulo Zona Norte, São Paulo",1460,55,2
norte,"Rua Paulo Do Vale Júnior, Vila Bancária Munhoz, São Paulo Zona Norte, São Paulo",880,45,1
norte,"Rua José Ferreira De Castro, Vila Amélia, São Paulo Zona Norte, São Paulo",1100,57,2
norte,"Rua Iwajiro Takahashi, Vila Mazzei, São Paulo Zona Norte, São Paulo",1442,80,2
