bairro,zona,area,quartos,aluguel
Bela Vista,centro,86.0,2.0,2200
Bela Vista,centro,35.0,1.0,3200
Bela Vista,centro,35.0,1.0,3700
Bela Vista,centro,35.0,1.0,3700
Bela Vista,centro,25.0,1.0,1800
Bela Vista,centro,25.0,1.0,2200
Bela Vista,centro,170.0,3.0,2500
Bela Vista,centro,35.0,1.0,1700
Bela Vista,centro,36.0,1.0,1600
Bela Vista,centro,23.0,1.0,2400
Bela Vista,centro,37.0,1.0,2800
Bela Vista,centro,380.0,6.0,11000
Consolação,centro,35.0,1.0,3200
Consolação,centro,35.0,1.0,3700
Consolação,centro,35.0,1.0,3700
Consolação,centro,25.0,1.0,1800
Consolação,centro,25.0,1.0,1800
Consolação,centro,25.0,1.0,2200
Consolação,centro,25.0,1.0,2200
Consolação,centro,35.0,1.0,3900
Consolação,centro,35.0,1.0,3900
Consolação,centro,196.0,3.0,6000
Consolação,centro,214.0,4.0,20000
Consolação,centro,38.0,1.0,3000
Consolação,centro,43.0,1.0,3700
Consolação,centro,35.0,1.0,3100
Santa Cecília,centro,100.0,2.0,4000
Santa Cecília,centro,150.0,7.0,6700
Santa Cecília,centro,30.0,1.0,2450
Santa Cecília,centro,45.0,1.0,1400
Santa Cecília,centro,33.0,1.0,1300
Santa Cecília,centro,35.0,1.0,800
Santa Cecília,centro,100.0,3.0,2200
Santa Cecília,centro,250.0,4.0,6000
Santa Cecília,centro,150.0,4.0,12000
Campos Elíseos,centro,32.0,1.0,1000
Campos Elíseos,centro,24.0,1.0,1350
Campos Elíseos,centro,33.0,1.0,1350
Campos Elíseos,centro,24.0,1.0,1350
Campos Elíseos,centro,20.0,1.0,2000
Campos Elíseos,centro,24.0,1.0,1350
Campos Elíseos,centro,20.0,1.0,2000
Campos Elíseos,centro,42.0,1.0,3500
Campos Elíseos,centro,20.0,1.0,1300
Campos Elíseos,centro,44.0,1.0,2000
Campos Elíseos,centro,20.0,1.0,3500
Campos Elíseos,centro,23.0,1.0,2000
Campos Elíseos,centro,24.0,1.0,1200
Campos Elíseos,centro,95.0,2.0,1250
Cerqueira César,centro,41.0,1.0,1750
Cerqueira César,centro,84.0,2.0,2600
Cerqueira César,centro,280.0,1.0,13000
Cerqueira César,centro,242.0,1.0,19000
Cerqueira César,centro,65.0,3.0,7500
Cerqueira César,centro,232.0,3.0,7000
Cerqueira César,centro,166.0,3.0,15000
Cerqueira César,centro,243.0,3.0,19000
Cerqueira César,centro,242.0,3.0,19000
Cerqueira César,centro,100.0,3.0,8000
Cerqueira César,centro,372.0,1.0,20000
Liberdade,centro,120.0,5.0,4500
Liberdade,centro,120.0,6.0,4500
Liberdade,centro,200.0,4.0,12000
Liberdade,centro,200.0,3.0,6000
Liberdade,centro,160.0,2.0,8000
Liberdade,centro,85.0,2.0,2500
Liberdade,centro,120.0,3.0,5500
Liberdade,centro,25.0,1.0,2000
Liberdade,centro,150.0,3.0,5000
Liberdade,centro,40.0,1.0,900
Liberdade,centro,25.0,1.0,900
Liberdade,centro,43.0,1.0,850
Brás,centro,40.0,2.0,1700
Brás,centro,200.0,2.0,3500
Brás,centro,65.0,2.0,1500
Brás,centro,90.0,3.0,1850
Brás,centro,130.0,3.0,2800
Brás,centro,65.0,2.0,1500
Brás,centro,90.0,3.0,1850
Brás,centro,130.0,3.0,2800
Brás,centro,150.0,3.0,3000
Brás,centro,110.0,2.0,2550
Brás,centro,90.0,3.0,1850
Brás,centro,15.0,1.0,1200
República,centro,29.0,1.0,2300
República,centro,39.0,1.0,2900
República,centro,28.0,1.0,2100
República,centro,39.0,1.0,2700
República,centro,39.0,1.0,2700
República,centro,38.0,1.0,2900
República,centro,39.0,1.0,2600
República,centro,39.0,1.0,2600
República,centro,28.0,1.0,1100
República,centro,28.0,1.0,2200
República,centro,39.0,1.0,2500
República,centro,28.0,1.0,2000
República,centro,39.0,1.0,2500
República,centro,38.0,1.0,2600
República,centro,38.0,1.0,2650
República,centro,28.0,1.0,2650
República,centro,28.0,1.0,2300
República,centro,28.0,1.0,2200
Pinheiros ,oeste,250.0,3.0,11000
Pinheiros ,oeste,450.0,4.0,13010
Pinheiros ,oeste,152.0,6.0,5000
Pinheiros ,oeste,170.0,4.0,6000
Pinheiros ,oeste,450.0,3.0,8500
Pinheiros ,oeste,350.0,4.0,11000
Pinheiros ,oeste,120.0,2.0,5000
Pinheiros ,oeste,120.0,2.0,5500
Pinheiros ,oeste,110.0,1.0,2200
Pinheiros ,oeste,297.0,4.0,15500
Pinheiros ,oeste,347.0,3.0,12000
Pinheiros ,oeste,359.0,4.0,16000
Pinheiros ,oeste,200.0,3.0,12000
Perdizes ,oeste,132.0,3.0,4500
Perdizes ,oeste,270.0,4.0,15000
Perdizes ,oeste,110.0,5.0,7000
Perdizes ,oeste,50.0,1.0,1300
Perdizes ,oeste,180.0,3.0,6800
Perdizes ,oeste,72.0,3.0,3900
Perdizes ,oeste,170.0,4.0,5500
Perdizes ,oeste,360.0,6.0,13200
Perdizes ,oeste,200.0,2.0,7000
Perdizes ,oeste,150.0,3.0,5000
Perdizes ,oeste,170.0,5.0,8500
Perdizes ,oeste,400.0,4.0,15000
Água Branca ,oeste,300.0,4.0,3500
Água Branca ,oeste,140.0,3.0,3300
Água Branca ,oeste,200.0,1.0,5500
Água Branca ,oeste,138.0,3.0,3500
Água Branca ,oeste,299.0,8.0,7000
Água Branca ,oeste,250.0,3.0,10000
Água Branca ,oeste,138.0,3.0,4300
Água Branca ,oeste,290.0,3.0,9010
Cidade Moncoes ,oeste,109.0,2.0,2800
Cidade Moncoes ,oeste,150.0,2.0,3700
Cidade Moncoes ,oeste,400.0,4.0,8900
Cidade Moncoes ,oeste,370.0,4.0,8900
Cidade Moncoes ,oeste,210.0,4.0,8500
Cidade Moncoes ,oeste,210.0,4.0,8500
Cidade Moncoes ,oeste,34.0,1.0,2300
Cidade Moncoes ,oeste,400.0,4.0,9000
Cidade Moncoes ,oeste,150.0,3.0,5000
Cidade Moncoes ,oeste,140.0,3.0,4200
Cidade Moncoes ,oeste,212.0,3.0,5900
Cidade Moncoes ,oeste,180.0,2.0,4000
Cidade Moncoes ,oeste,140.0,2.0,4000
Vila Leopoldina ,oeste,225.0,3.0,2500
Vila Leopoldina ,oeste,100.0,2.0,2000
Vila Leopoldina ,oeste,50.0,1.0,1200
Vila Leopoldina ,oeste,45.0,1.0,2000
Vila Leopoldina ,oeste,130.0,3.0,4200
Vila Leopoldina ,oeste,150.0,4.0,4500
Vila Leopoldina ,oeste,70.0,1.0,2000
Vila Leopoldina ,oeste,80.0,1.0,2000
Vila Leopoldina ,oeste,48.0,2.0,1900
Vila Leopoldina ,oeste,231.0,3.0,4600
Vila Leopoldina ,oeste,120.0,1.0,3400
Vila Leopoldina ,oeste,100.0,3.0,3300
Vila Leopoldina ,oeste,80.0,2.0,4000
Vila Leopoldina ,oeste,80.0,2.0,4000
Vila Leopoldina ,oeste,132.0,2.0,4810
Vila Leopoldina ,oeste,400.0,5.0,7000
Vila Leopoldina ,oeste,150.0,2.0,4000
Higienópolis ,oeste,137.0,1.0,5000
Higienópolis ,oeste,106.0,1.0,11000
Higienópolis ,oeste,75.0,2.0,8000
Higienópolis ,oeste,74.0,3.0,6000
Higienópolis ,oeste,125.0,3.0,6000
Higienópolis ,oeste,150.0,1.0,8000
Higienópolis ,oeste,186.0,3.0,8000
Higienópolis ,oeste,74.0,3.0,6000
